Museum,Catalog Number,Sex,Year,Month,Date,State,County,Locality,Latitude,Longitude,δ15N,δ13C,δ13C.corrected,δ2H
SDNHM,31965,F,1916,4,4,California,Imperial,Potholes,32.8234898,-114.5079231,10.14,-18.8,-20.239,-73.16
SDNHM,31962,F,1918,1,9,California,Imperial,Coyote Wells,32.7386742,-115.9675102,13.11,-16.92,-18.359,-81.98
SDNHM,31969,F,1918,1,9,California,Imperial,Coyote Wells,32.7386742,-115.9675102,16.21,-19,-20.439,-71.19
SDNHM,31968,M,1918,1,9,California,Imperial,Coyote Wells,32.7386742,-115.9675102,13.94,-20.33,-21.769,-104.27
SDNHM,9140,F,1923,11,19,California,Imperial,8 mi. E Holtville,32.8080532,-115.2409479,9.56,-20.85,-22.289,-105.11
SDNHM,9141,M,1923,11,19,California,Imperial,8 mi. E Holtville,32.8080532,-115.2409479,14.37,-17.42,-18.859,-111.03
SDNHM,9142,M,1923,11,19,California,Imperial,8 mi. E Holtville,32.8080532,-115.2409479,10.65,-20.47,-21.909,-94.6
SDNHM,9190,M,1923,12,22,California,Imperial,Sand Dunes – 15 mi. E Holtville,32.8092074,-115.1192851,13.01,-17.39,-18.829,-55.34
SDNHM,9191,M,1923,12,22,California,Imperial,Sand Dunes – 15 mi. E Holtville,32.8092074,-115.1192851,10.6,-19.62,-21.084,-62.76
SDNHM,9193,M,1923,12,22,California,Imperial,Sand Dunes – 15 mi. E Holtville,32.8092074,-115.1192851,14.97,-20.65,-22.124,-93.17
SDNHM,9194,M,1923,12,22,California,Imperial,Sand Dunes – 15 mi. E Holtville,32.8092074,-115.1192851,15.51,-20.24,-21.679,-77.52
SDNHM,9195,F,1923,12,22,California,Imperial,10 mi E. Holtville,32.8092074,-115.2052049,14.35,-20.3,-21.764,-102.17
SDNHM,31967,M,1923,11,19,California,Imperial,10 mi E. Holtville,32.8092074,-115.2052049,9.59,-20.46,-21.186,-92.13
SDNHM,9192,F,1923,12,22,California,Imperial,Sand Dunes – 15 mi. E Holtville,32.8092074,-115.1192851,14.2,-14.52,-15.026,-44.01
SDNHM,9196,F,1923,12,22,California,Imperial,10 mi E. Holtville,32.8092074,-115.2052049,12.1,-19.76,-20.266,-76.51
SDNHM,9197,F,1923,12,22,California,Imperial,10 mi E. Holtville,32.8092074,-115.2052049,13.2,-18.71,-19.216,-75.78
SDNHM,43003,M,1984,4,25,California,Imperial,2.75 mi. ESE Microwave Relay Station on County Line,33.2993993,-116.0394695,5.74,-21.04,-21.546,-68.33
SDNHM,48908,M,1994,7,24,California,Imperial,2.6 mi. SSE mouth San Felipe Wash,33.0988569,-115.7888087,10.74,-19.84,-20.346,-96.18
